gene,importance_mean,importance_std
GENE_084,0.04978448275862064,0.0163125340260054
GENE_100,0.04116379310344821,0.00936694560866412
GENE_116,0.03103448275862064,0.017057205980525313
GENE_092,0.028879310344827526,0.004741379310344825
GENE_048,0.02715517241379304,0.009354540695780471
GENE_017,0.026724137931034432,0.009791221285862524
GENE_136,0.024784482758620663,0.012464649776656242
GENE_041,0.02413793103448273,0.005766848344939491
GENE_024,0.023060344827586166,0.007773572757272162
GENE_124,0.023060344827586142,0.022439681667026357
GENE_049,0.020905172413793083,0.02254293861613109
GENE_057,0.020905172413793072,0.010734835694320917
GENE_123,0.019827586206896508,0.009284766908852599
GENE_103,0.019827586206896498,0.008446516354424755
GENE_001,0.019396551724137866,0.009394178757630748
GENE_047,0.018318965517241336,0.010256900029561023
GENE_094,0.017025862068965468,0.008427247756903943
GENE_066,0.015948275862068918,0.01708441481259171
GENE_002,0.015301724137931006,0.007493680452893826
GENE_008,0.014008620689655128,0.0072926397912451155
GENE_137,0.01271551724137927,0.01459960306417238
GENE_118,0.012715517241379249,0.012246614349289116
GENE_052,0.012284482758620641,0.0059453078552300365
GENE_020,0.011853448275862022,0.009553517353147205
GENE_078,0.011637931034482707,0.004437771612494398
GENE_114,0.01077586206896548,0.006677557493461081
GENE_108,0.00969827586206894,0.006114767654789271
GENE_122,0.009698275862068928,0.005031300659452046
GENE_139,0.009482758620689601,0.00520820947137695
GENE_019,0.00926724137931032,0.004315729395366563
GENE_131,0.009051724137930994,0.010895883327383202
GENE_075,0.008620689655172386,0.008121311931645154
GENE_117,0.008405172413793039,0.006777666031688108
GENE_032,0.008405172413793039,0.006425884274084309
GENE_035,0.007974137931034441,0.007653138320933061
GENE_107,0.007758620689655138,0.008017704843852714
GENE_011,0.007758620689655138,0.005878526593528405
GENE_093,0.00732758620689653,0.003366486929270099
GENE_022,0.006465517241379259,0.007770584645396531
GENE_040,0.00603448275862063,0.00805238866046097
GENE_067,0.005603448275862033,0.006110968482223195
GENE_029,0.005603448275862011,0.00626113751997154
GENE_132,0.00538793103448274,0.005301023222521044
GENE_125,0.0053879310344827295,0.004843147641000919
GENE_097,0.004956896551724077,0.003481787590819704
GENE_127,0.00452586206896548,0.005490404828817685
GENE_085,0.004310344827586165,0.003338778746730517
GENE_090,0.004094827586206884,0.0032613676617287805
GENE_000,0.0038793103448275467,0.007199695296762966
GENE_104,0.003663793103448243,0.016386398194198598
GENE_102,0.003663793103448232,0.004094827586206894
GENE_143,0.003448275862068928,0.00529664039976055
GENE_037,0.003232758620689635,0.006832270467304891
GENE_006,0.0028017241379309833,0.0047266621119528675
GENE_111,0.0023706896551723864,0.002250066057954841
GENE_147,0.0023706896551723756,0.009803073634089795
GENE_149,0.0021551724137930605,0.0048191120204736735
GENE_134,0.0021551724137930496,0.004416789123258472
GENE_113,0.0019396551724137345,0.004026194330230473
GENE_014,0.0017241379310344418,0.0023211917272131424
GENE_053,0.001508620689655149,0.006323879634103974
GENE_129,0.001293103448275823,0.006479869128609005
GENE_005,0.0010775862068965413,0.0032327586206896608
GENE_126,0.0010775862068965081,0.004647383330355136
GENE_133,0.0008620689655172153,0.004838350069104232
GENE_070,0.0008620689655171931,0.009932516053278363
GENE_013,0.00043103448275859656,0.004395706477235131
GENE_004,0.0,0.0
GENE_003,0.0,0.0
GENE_012,0.0,0.0
GENE_021,0.0,0.0
GENE_018,0.0,0.0
GENE_015,0.0,0.0
GENE_016,0.0,0.0
GENE_009,0.0,0.0
GENE_007,0.0,0.0
GENE_010,0.0,0.0
GENE_028,0.0,0.0
GENE_038,0.0,0.0
GENE_044,0.0,0.0
GENE_036,0.0,0.0
GENE_034,0.0,0.0
GENE_030,0.0,0.0
GENE_033,0.0,0.0
GENE_031,0.0,0.0
GENE_039,0.0,0.0
GENE_023,0.0,0.0
GENE_025,0.0,0.0
GENE_115,0.0,0.0
GENE_112,0.0,0.0
GENE_106,0.0,0.0
GENE_105,0.0,0.0
GENE_079,0.0,0.0
GENE_083,0.0,0.0
GENE_071,0.0,0.0
GENE_072,0.0,0.0
GENE_073,0.0,0.0
GENE_063,0.0,0.0
GENE_069,0.0,0.0
GENE_074,0.0,0.0
GENE_080,0.0,0.0
GENE_081,0.0,0.0
GENE_056,0.0,0.0
GENE_055,0.0,0.0
GENE_060,0.0,0.0
GENE_058,0.0,0.0
GENE_054,0.0,0.0
GENE_062,0.0,0.0
GENE_061,0.0,0.0
GENE_068,0.0,0.0
GENE_051,0.0,0.0
GENE_046,0.0,0.0
GENE_043,0.0,0.0
GENE_042,0.0,0.0
GENE_050,0.0,0.0
GENE_064,0.0,0.0
GENE_076,0.0,0.0
GENE_077,0.0,0.0
GENE_141,0.0,0.0
GENE_140,0.0,0.0
GENE_130,0.0,0.0
GENE_120,0.0,0.0
GENE_121,0.0,0.0
GENE_128,0.0,0.0
GENE_110,0.0,0.0
GENE_109,0.0,0.0
GENE_091,0.0,0.0
GENE_087,0.0,0.0
GENE_088,0.0,0.0
GENE_095,0.0,0.0
GENE_101,0.0,0.0
GENE_098,0.0,0.0
GENE_089,0.0,0.0
GENE_086,0.0,0.0
GENE_145,0.0,0.0
GENE_144,0.0,0.0
GENE_138,0.0,0.0
GENE_142,0.0,0.0
GENE_146,0.0,0.0
GENE_148,0.0,0.0
GENE_119,0.0,0.0
GENE_135,0.0,0.0
GENE_059,-0.00021551724137933715,0.006279656157040261
GENE_096,-0.00043103448275865207,0.010549343319414166
GENE_099,-0.0008620689655172598,0.0019752481443775227
GENE_026,-0.0008620689655172819,0.005718318604061031
GENE_027,-0.0017241379310345083,0.0031674436329092574
GENE_045,-0.010129310344827636,0.00899251984699357
GENE_082,-0.01034482758620695,0.006156403817709356
GENE_065,-0.010991379310344862,0.0064977644102074735
